time,seconds_elapsed,z,y,x
1707005576230571300,0.1105712890625,-0.07513637095689774,-0.1744018942117691,-0.056199558079242706
1707005576249528000,0.129528076171875,-0.07422006875276566,-0.20861032605171204,-0.05925388261675835
1707005576268484900,0.14848486328125,-0.07574722915887833,-0.22357651591300964,-0.06566796451807022
1707005576287442000,0.16744189453125,-0.09712749719619751,-0.22266021370887756,-0.06963858753442764
1707005576306398700,0.186398681640625,-0.1026252806186676,-0.24342961609363556,-0.07971785217523575
1707005576325355500,0.20535546875,-0.11606431007385254,-0.25473061203956604,-0.0873536616563797
1707005576344312600,0.2243125,-0.11545344442129135,-0.25992295145988464,-0.08307760953903198
1707005576363269400,0.243269287109375,-0.12675444781780243,-0.24526220560073853,-0.09132428467273712
1707005576382226200,0.26222607421875,-0.14996729791164398,-0.19639302790164948,-0.0824667438864708
1707005576401183000,0.281182861328125,-0.15668681263923645,-0.19730933010578156,-0.09101885557174683
1707005576420140000,0.30014013671875,-0.1490510106086731,-0.23304490745067596,-0.11514800786972046
1707005576439096800,0.319096923828125,-0.13591741025447845,-0.2782489061355591,-0.14263692498207092
1707005576458053600,0.3380537109375,-0.16615521907806396,-0.2461785078048706,-0.13927717506885529
1707005576477010400,0.357010498046875,-0.1902843713760376,-0.3078758418560028,-0.15271618962287903
1707005576495967200,0.37596728515625,-0.1899789422750473,-0.33322674036026,-0.16187916696071625
1707005576514924300,0.39492431640625,-0.16584978997707367,-0.35246896743774414,-0.17318016290664673
1707005576533881000,0.413881103515625,-0.16737695038318634,-0.35124725103378296,-0.18417572975158691
1707005576552838000,0.432837890625,-0.16646064817905426,-0.3436114490032196,-0.18203771114349365
1707005576571795000,0.451794921875,-0.17348559200763702,-0.37232208251953125,-0.185092031955719
1707005576590751700,0.470751708984375,-0.185092031955719,-0.4462367296218872,-0.1695149689912796
1707005576609708500,0.48970849609375,-0.19914191961288452,-0.5937605500221252,-0.16829325258731842
1707005576628665600,0.50866552734375,-0.18356487154960632,-0.7351757884025574,-0.17531819641590118
1707005576647622400,0.527622314453125,-0.19303326308727264,-0.7415898442268372,-0.1386663019657135
1707005576666579200,0.5465791015625,-0.26419901847839355,-0.6872228980064392,-0.08949168771505356
1707005576685536000,0.565535888671875,-0.3121519088745117,-0.6798924803733826,-0.06872228533029556
1707005576704493000,0.5844931640625,-0.3228420317173004,-0.667064368724823,-0.06505709886550903
1707005576723449900,0.603449951171875,-0.2987128794193268,-0.6420188546180725,-0.07513637095689774
1707005576742406700,0.62240673828125,-0.2730565667152405,-0.6325504779815674,-0.09804379940032959
1707005576761363700,0.64136376953125,-0.2562577724456787,-0.5992583632469177,-0.1185077652335167
1707005576780320500,0.660320556640625,-0.25442516803741455,-0.5137372612953186,-0.11117739230394363
1707005576799277300,0.67927734375,-0.24342961609363556,-0.41874781250953674,-0.09315688163042068
1707005576818234000,0.698234130859375,-0.22204934060573578,-0.29016077518463135,-0.08857539296150208
1707005576837191200,0.717191162109375,-0.20250166952610016,-0.2761108875274658,-0.10415244847536087
1707005576856148000,0.73614794921875,-0.2009745091199875,-0.2522871494293213,-0.09682206809520721
1707005576875104800,0.755104736328125,-0.18875721096992493,-0.2360992431640625,-0.08277218043804169
1707005576894061800,0.774061767578125,-0.1695149689912796,-0.23304490745067596,-0.09285144507884979
1707005576913018600,0.7930185546875,-0.15210533142089844,-0.2513708472251892,-0.10751219838857651
1707005576931975400,0.811975341796875,-0.1178968995809555,-0.2965748608112335,-0.1337793916463852
1707005576950932500,0.830932373046875,-0.1185077652335167,-0.3814850449562073,-0.16004657745361328
1707005576969889300,0.84988916015625,-0.1337793916463852,-0.3448331654071808,-0.14782927930355072
1707005576988846000,0.86884619140625,-0.12705987691879272,-0.3185659945011139,-0.13500112295150757
1707005577007803000,0.887802978515625,-0.12736530601978302,-0.28008151054382324,-0.11759147047996521
1707005577026760000,0.906760009765625,-0.14263692498207092,-0.2861901521682739,-0.1026252806186676
1707005577045716700,0.925716796875,-0.11881320178508759,-0.32681265473365784,-0.11117739230394363
1707005577064673800,0.944673828125,-0.12644900381565094,-0.3646862804889679,-0.09407317638397217
1707005577083630600,0.963630615234375,-0.12217295914888382,-0.3381136655807495,-0.07757982611656189
1707005577102587400,0.98258740234375,-0.13255766034126282,-0.2672533392906189,-0.061391908675432205
1707005577121544400,1.00154443359375,-0.16187916696071625,-0.22846342623233795,-0.057726722210645676
1707005577140501200,1.020501220703125,-0.15210533142089844,-0.24892739951610565,-0.05345066636800766
1707005577159458300,1.039458251953125,-0.11178825795650482,-0.3329212963581085,-0.07116574794054031
1707005577178415000,1.0584150390625,-0.09162971377372742,-0.3787361681461334,-0.05497783049941063
1707005577197372000,1.077371826171875,-0.12370011955499649,-0.29535311460494995,-0.002443459117785096
1707005577216328700,1.09632861328125,-0.13958260416984558,-0.03848448023200035,0.03176496922969818
1707005577235285800,1.11528564453125,-0.168904110789299,0.24037529528141022,0.05894844979047775
1707005577254242600,1.13424267578125,-0.1847866028547287,0.3860665261745453,0.0922405794262886
1707005577273199600,1.15319970703125,-0.1441640853881836,0.3430005609989166,0.08888082206249237
1707005577292156400,1.172156494140625,-0.13255766034126282,0.18325942754745483,0.03543015569448471
1707005577311113500,1.191113525390625,-0.09621120244264603,0.12675444781780243,-0.007941242307424545
1707005577330070300,1.2100703125,-0.08857539296150208,0.21655155718326569,-0.010384701192378998
1707005577349027000,1.229027099609375,-0.09926552325487137,0.35185810923576355,0.007024944759905338
1707005577367984000,1.247984130859375,-0.09498947113752365,0.37751442193984985,0.03237583488225937
1707005577386941000,1.26694091796875,-0.10934479534626007,0.35735589265823364,0.04764745384454727
1707005577405898000,1.28589794921875,-0.1081230640411377,0.31642794609069824,0.03329212963581085
1707005577424854800,1.304854736328125,-0.09132428467273712,0.26878049969673157,0.005192350596189499
1707005577443811800,1.323811767578125,-0.10690133273601532,0.25809037685394287,-0.008246674202382565
1707005577462768600,1.3427685546875,-0.12095122784376144,0.2926042377948761,0.0009162971982732415
1707005577481725700,1.3617255859375,-0.11362084746360779,0.37812530994415283,0.020769402384757996
1707005577500682500,1.3806826171875,-0.11331541836261749,0.39309149980545044,0.05345066636800766
1707005577519639600,1.3996396484375,-0.1285870373249054,0.3543015718460083,0.05742128938436508
1707005577538596400,1.418596435546875,-0.1078176349401474,0.30115634202957153,0.04214967042207718
1707005577557553400,1.437553466796875,-0.12125665694475174,0.2724456787109375,0.026572618633508682
1707005577576510200,1.45651025390625,-0.1533270627260208,0.2467893660068512,0.029932374134659767
1707005577595467300,1.47546728515625,-0.18570289015769958,0.2724456787109375,0.04153880476951599
1707005577614424000,1.494424072265625,-0.210442915558815,0.29077163338661194,0.031154103577136993
1707005577633381000,1.513381103515625,-0.2162461280822754,0.2868010103702545,0.020158538594841957
1707005577652338000,1.532337890625,-0.24831652641296387,0.22785256803035736,0.02626718580722809
1707005577671295000,1.551294921875,-0.2556469142436981,0.1282816082239151,0.016187917441129684
1707005577690251800,1.570251708984375,-0.24984370172023773,0.07391463965177536,0.001221729558892548
1707005577709208800,1.589208740234375,-0.2715294063091278,0.028099779039621353,-0.004886918235570192
1707005577728165600,1.60816552734375,-0.2868010103702545,0.04276053607463837,-0.010079269297420979
1707005577747122700,1.627122802734375,-0.3081812858581543,0.05803215503692627,-0.011911863461136818
1707005577766079500,1.64607958984375,-0.3127627670764923,0.050090912729501724,-0.035735588520765305
1707005577785036500,1.66503662109375,-0.32650721073150635,0.05192350596189499,-0.04581485688686371
1707005577803993300,1.683993408203125,-0.33231043815612793,0.03848448023200035,-0.028099779039621353
1707005577822950400,1.702950439453125,-0.3228420317173004,-0.000305432389723137,-0.02779434807598591
1707005577841907500,1.721907470703125,-0.323452889919281,-0.0015271619195118546,-0.0308486707508564
1707005577860864300,1.7408642578125,-0.3384190797805786,-0.023518294095993042,-0.03848448023200035
1707005577879821300,1.7598212890625,-0.3390299379825592,-0.0873536616563797,-0.04764745384454727
1707005577898778000,1.778778076171875,-0.31581708788871765,-0.15760311484336853,-0.06841685622930527
1707005577917735200,1.797735107421875,-0.32100942730903625,-0.18142683804035187,-0.07452550530433655
1707005577936692000,1.81669189453125,-0.33078327775001526,-0.19883649051189423,-0.07055488228797913
1707005577955649000,1.83564892578125,-0.34147340059280396,-0.16279546916484833,-0.07116574794054031
1707005577974606000,1.854606201171875,-0.3503309488296509,-0.15821397304534912,-0.07055488228797913
1707005577993563000,1.87356298828125,-0.34177884459495544,-0.14752385020256042,-0.07452550530433655
1707005578012520000,1.89252001953125,-0.31551164388656616,-0.13041962683200836,-0.08826996386051178
1707005578031476700,1.911476806640625,-0.28069236874580383,-0.13530655205249786,-0.09987638890743256
1707005578050433800,1.930433837890625,-0.2364046722650528,-0.1585194170475006,-0.10537417232990265
1707005578069390800,1.949390869140625,-0.20738859474658966,-0.15302163362503052,-0.10018182545900345
1707005578088347600,1.96834765625,-0.17562362551689148,-0.13744457066059113,-0.09285144507884979
1707005578107304700,1.9873046875,-0.13744457066059113,-0.1438586562871933,-0.09101885557174683
1707005578126261500,2.006261474609375,-0.10201441496610641,-0.19700388610363007,-0.08857539296150208
1707005578145218600,2.025218505859375,-0.05497783049941063,-0.24984370172023773,-0.0824667438864708
1707005578164175600,2.044175537109375,-0.015271619893610477,-0.25320345163345337,-0.0769689604640007
1707005578183132700,2.063132568359375,0.008246674202382565,-0.2153298407793045,-0.05864302068948746
1707005578202089500,2.08208935546875,0.03176496922969818,-0.17806708812713623,-0.04245510324835777
1707005578221046500,2.101046630859375,0.06352993845939636,-0.12583814561367035,-0.03695731982588768
1707005578240003600,2.120003662109375,0.10629047453403473,-0.10751219838857651,-0.04550942778587341
1707005578258960400,2.13896044921875,0.15515965223312378,-0.10109812021255493,-0.056199558079242706
1707005578277917400,2.15791748046875,0.18264856934547424,-0.0974329337477684,-0.05253437161445618
1707005578296874500,2.17687451171875,0.1948658674955368,-0.07819069176912308,-0.032070402055978775
