
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-354,-301,-96,-115.5,accel_data
Y,-376,-306,-106,-134,accel_data
X,-332,-294,-96,-116.75,accel_data
Relative Altitude,-44,-37,-3,-9.75,bar_data
Pressure,-80,-47,-14,-9.75,bar_data
Z,-286,-171,-38,-31,gyro_data
Y,-290,-252,-81,-77,gyro_data
X,-240,-118,-25,-19.5,gyro_data
Z,-113,-54,-1,-2,grav_data
Y,-36,-4,2,0.5,grav_data
X,-177,-117,-20,-5.25,grav_data
qz,-130,-77,-17,0,orient_data
qy,-105,-72,-15,8.5,orient_data
qx,-100,-5,4,10,orient_data
qw,-51,-37,0,0.5,orient_data
roll,-164,-79,-10,1,orient_data
pitch,-25,-21,5,0.25,orient_data
yaw,-120,-73,-4,5,orient_data
