
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-537,-462,-165,-169.5,accel_data
Y,-616,-469,-172,-189.75,accel_data
X,-524,-452,-161,-166.25,accel_data
Relative Altitude,-67,-59,-12,-22.25,bar_data
Pressure,-160,-89,-34,-22.25,bar_data
Z,-461,-330,-87,-37,gyro_data
Y,-475,-413,-128,-88,gyro_data
X,-435,-279,-81,-17,gyro_data
Z,-233,-115,-17,4.25,grav_data
Y,-137,-26,-3,-1.25,grav_data
X,-308,-122,-24,13,grav_data
qz,-249,-185,-44,5.25,orient_data
qy,-220,-166,-38,6,orient_data
qx,-219,-25,-2,9.25,orient_data
qw,-176,-151,-25,-1.25,orient_data
roll,-289,-68,-6,13.75,orient_data
pitch,-142,-120,-15,-1.25,orient_data
yaw,-248,-166,-30,11.25,orient_data
