
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-417,-349,-121,-141.5,accel_data
Y,-422,-337,-112,-72,accel_data
X,-444,-374,-132,-124.5,accel_data
Relative Altitude,-63,-31,-7,-10,bar_data
Pressure,-92,-64,-18,-10,bar_data
Z,-297,-167,-52,-18,gyro_data
Y,-325,-256,-77,-70.5,gyro_data
X,-310,-240,-73,-44,gyro_data
Z,-178,-115,-30,-5,grav_data
Y,-144,-86,-17,3.5,grav_data
X,-114,-54,-11,-0.75,grav_data
qz,-165,-87,-19,0.25,orient_data
qy,-137,-80,-12,-1.5,orient_data
qx,-125,-68,-8,1.25,orient_data
qw,-152,-65,-12,1.25,orient_data
roll,-92,-40,-6,2.75,orient_data
pitch,-116,-49,-9,-6,orient_data
yaw,-106,-67,-14,-3.75,orient_data
