
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-430,-380,-131,-121.5,accel_data
Y,-418,-323,-102,-87.5,accel_data
X,-420,-351,-119,-136.5,accel_data
Relative Altitude,-88,-50,-14,-17.5,bar_data
Pressure,-124,-78,-24,-17.5,bar_data
Z,-381,-226,-73,-27.5,gyro_data
Y,-413,-322,-103,-99,gyro_data
X,-393,-299,-98,-44,gyro_data
Z,-184,-107,-28,-7.5,grav_data
Y,-181,-122,-26,5,grav_data
X,-153,-71,-14,2.5,grav_data
qz,-203,-135,-35,-2.5,orient_data
qy,-167,-98,-20,-2,orient_data
qx,-170,-95,-14,0.5,orient_data
qw,-213,-106,-24,0.25,orient_data
roll,-126,-74,-18,-1.25,orient_data
pitch,-153,-77,-22,-6,orient_data
yaw,-153,-94,-19,-9.25,orient_data
