
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-232,-208,-67,-67.5,accel_data
Y,-267,-253,-75,-84,accel_data
X,-274,-230,-79,-71.5,accel_data
Relative Altitude,-53,-32,-6,-7.5,bar_data
Pressure,-73,-30,-4,-7.5,bar_data
Z,-181,-95,-19,-9.5,gyro_data
Y,-206,-172,-57,-52.25,gyro_data
X,-181,-141,-39,-34.5,gyro_data
Z,-152,-87,-23,-4.25,grav_data
Y,-19,-18,5,0.5,grav_data
X,-29,-10,1,-7,grav_data
qz,-47,-22,1,0.5,orient_data
qy,-16,-16,4,0.5,orient_data
qx,-70,-63,-7,0,orient_data
qw,-40,-19,-2,-0.25,orient_data
roll,-117,-57,-14,0.75,orient_data
pitch,-11,-1,7,1,orient_data
yaw,-66,-32,-3,3.25,orient_data
