
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-142,-131,-43,-52.5,accel_data
Y,-150,-141,-41,-44.5,accel_data
X,-149,-135,-41,-52.5,accel_data
Relative Altitude,-9,-5,0,0,bar_data
Pressure,-14,-13,0,0,bar_data
Z,-136,-68,-8,-13.5,gyro_data
Y,-137,-115,-29,-33.5,gyro_data
X,-134,-80,-20,-15.5,gyro_data
Z,-20,-12,-1,0.5,grav_data
Y,-2,0,6,-0.25,grav_data
X,-12,-9,0,-3,grav_data
qz,-14,-10,-1,-0.25,orient_data
qy,-14,-3,0,-3.25,orient_data
qx,-33,-24,-6,3.25,orient_data
qw,-26,-2,0,-4.75,orient_data
roll,-30,-13,-4,0.5,orient_data
pitch,-2,-2,6,-0.25,orient_data
yaw,-34,-11,0,-0.5,orient_data
