
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-327,-285,-100,-111,accel_data
Y,-399,-340,-115,-97.5,accel_data
X,-378,-326,-107,-117.5,accel_data
Relative Altitude,-117,-73,-18,-15.75,bar_data
Pressure,-162,-88,-23,-15.75,bar_data
Z,-403,-253,-78,-9.5,gyro_data
Y,-398,-327,-117,-70.5,gyro_data
X,-366,-277,-87,-59.5,gyro_data
Z,-258,-105,-25,2.5,grav_data
Y,-131,-104,-19,2.75,grav_data
X,-144,-65,-13,-1.75,grav_data
qz,-152,-67,-11,0.75,orient_data
qy,-126,-93,-18,-6,orient_data
qx,-170,-136,-30,-3,orient_data
qw,-131,-80,-15,0,orient_data
roll,-237,-75,-12,-1.5,orient_data
pitch,-123,-28,-2,2.75,orient_data
yaw,-173,-69,-7,2.5,orient_data
