
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-234,-145,-8,-6,accel_data
Y,-199,-136,-9,-20,accel_data
X,-181,-63,39,8,accel_data
Relative Altitude,22,33,71,51.5,bar_data
Pressure,-13,10,62,51.5,bar_data
Z,-139,-51,42,40.5,gyro_data
Y,-91,-20,41,45,gyro_data
X,-118,-66,41,44,gyro_data
Z,-34,25,55,77.25,grav_data
Y,-22,7,61,57,grav_data
X,-13,40,66,61,grav_data
qz,10,36,77,58,orient_data
qy,-16,16,65,65.5,orient_data
qx,-10,7,71,69.75,orient_data
qw,31,41,83,68.75,orient_data
roll,-5,33,64,74.75,orient_data
pitch,-7,34,69,61,orient_data
yaw,29,38,80,62.5,orient_data
