
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-292,-233,-91,-95.5,accel_data
Y,-309,-260,-80,-81.5,accel_data
X,-340,-265,-82,-84.5,accel_data
Relative Altitude,-24,-17,3,-5,bar_data
Pressure,-29,-8,0,-5,bar_data
Z,-162,-86,-6,-2.5,gyro_data
Y,-292,-225,-63,-45,gyro_data
X,-238,-144,-25,-15.5,gyro_data
Z,-35,-25,-1,3,grav_data
Y,-4,-1,10,0.75,grav_data
X,-20,-17,-1,-3.75,grav_data
qz,-31,-11,1,10.75,orient_data
qy,-20,-16,3,10.75,orient_data
qx,-41,-31,-5,10.75,orient_data
qw,-26,-1,4,0,orient_data
roll,-49,-21,-6,5.5,orient_data
pitch,-3,-2,10,0.75,orient_data
yaw,-78,-17,0,13,orient_data
