
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-247,-165,-59,-56,accel_data
Y,-278,-202,-55,-34,accel_data
X,-243,-141,-38,-24,accel_data
Relative Altitude,-44,-28,0,-8.5,bar_data
Pressure,-54,-33,-5,-8.5,bar_data
Z,-196,-145,-46,-37,gyro_data
Y,-260,-158,-33,-34.5,gyro_data
X,-187,-145,-44,-38.5,gyro_data
Z,-55,-18,1,2.25,grav_data
Y,-80,-38,0,0.25,grav_data
X,-67,-42,1,-0.75,grav_data
qz,-64,-54,-7,13,orient_data
qy,-83,-68,-4,12.5,orient_data
qx,-85,-65,-7,13,orient_data
qw,-83,-39,-1,-2.75,orient_data
roll,-48,-20,0,2.75,orient_data
pitch,-79,-44,0,0.25,orient_data
yaw,-112,-78,-9,-3.75,orient_data
