
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-155,-132,-44,-29.5,accel_data
Y,-147,-113,-36,-32.5,accel_data
X,-147,-119,-39,-40.5,accel_data
Relative Altitude,-17,-14,1,-2.5,bar_data
Pressure,-25,-14,1,-2.5,bar_data
Z,-113,-48,-11,-12.5,gyro_data
Y,-135,-114,-36,-32.5,gyro_data
X,-109,-51,-11,-4.5,gyro_data
Z,-26,-15,-1,-1.25,grav_data
Y,-10,0,4,5,grav_data
X,-40,-22,-3,-2.25,grav_data
qz,-56,-41,-9,-1,orient_data
qy,-35,-34,-4,1,orient_data
qx,-32,-14,-1,7.5,orient_data
qw,-16,-12,1,0.25,orient_data
roll,-89,-46,-8,-6,orient_data
pitch,-11,-11,3,0.25,orient_data
yaw,-65,-48,-10,3.75,orient_data
