
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-351,-297,-95,-50.5,accel_data
Y,-373,-244,-82,-56.5,accel_data
X,-329,-261,-87,-72.5,accel_data
Relative Altitude,-33,-18,-1,-11,bar_data
Pressure,-76,-61,-7,-11,bar_data
Z,-289,-126,-26,-16,gyro_data
Y,-321,-274,-89,-14,gyro_data
X,-259,-108,-23,-13.5,gyro_data
Z,-93,-61,-7,7.75,grav_data
Y,-47,-3,5,19.75,grav_data
X,-115,-57,-11,-4,grav_data
qz,-203,-96,-26,9.5,orient_data
qy,-114,-53,-8,10.75,orient_data
qx,-116,-23,-1,9.75,orient_data
qw,-80,-60,-4,7.25,orient_data
roll,-198,15,19,19.75,orient_data
pitch,-46,-42,6,10.25,orient_data
yaw,-141,-113,-13,15,orient_data
