
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-337,-273,72,50,accel_data
Y,-78,-77,145,-23,accel_data
X,-360,-286,64,71,accel_data
Relative Altitude,-55,-47,152,126.5,bar_data
Pressure,-56,-28,123,126.5,bar_data
Z,-349,-131,117,104,gyro_data
Y,-108,-36,154,80,gyro_data
X,-129,63,131,95,gyro_data
Z,64,72,216,157.75,grav_data
Y,40,73,212,150.25,grav_data
X,-170,-31,149,169.5,grav_data
qz,47,128,222,226.75,orient_data
qy,1,100,218,215.25,orient_data
qx,-2,119,223,209.25,orient_data
qw,39,150,246,220.25,orient_data
roll,-124,-93,166,188.75,orient_data
pitch,41,74,215,152.75,orient_data
yaw,-2,115,219,203.25,orient_data
