
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-433,-117,23,8.5,accel_data
Y,-311,-303,59,-27,accel_data
X,-449,-311,57,15.5,accel_data
Relative Altitude,2,92,154,119.5,bar_data
Pressure,-1,-1,184,119.5,bar_data
Z,-452,-174,138,47.5,gyro_data
Y,-465,-233,122,4.5,gyro_data
X,-352,-236,121,109.5,gyro_data
Z,-95,21,168,184.75,grav_data
Y,-40,-11,197,180,grav_data
X,48,140,215,166,grav_data
qz,15,132,223,260,orient_data
qy,-153,51,203,260,orient_data
qx,-156,58,227,259.25,orient_data
qw,3,114,233,252.5,orient_data
roll,-105,70,156,196.75,orient_data
pitch,-18,136,176,171,orient_data
yaw,19,141,239,256.25,orient_data
