
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-169,-98,-36,-37.5,accel_data
Y,-222,-143,-47,-39.5,accel_data
X,-216,-144,-57,-48.5,accel_data
Relative Altitude,-3,-1,5,8,bar_data
Pressure,-126,-73,-19,8,bar_data
Z,-220,-177,-55,-53.75,gyro_data
Y,-204,-139,-49,-36,gyro_data
X,-144,-112,-36,-38,gyro_data
Z,-72,-31,-4,-0.75,grav_data
Y,-87,-53,-12,-4.25,grav_data
X,-93,-46,-4,1,grav_data
qz,-137,-58,-15,1.5,orient_data
qy,-94,-63,-14,2,orient_data
qx,-75,-41,-7,-0.75,orient_data
qw,-93,-45,-4,-1.75,orient_data
roll,-85,-45,-6,-2,orient_data
pitch,-83,-38,-5,-3.75,orient_data
yaw,-118,-59,-5,0.75,orient_data
