
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-174,-120,-39,-41,accel_data
Y,-246,-167,-55,-45.5,accel_data
X,-248,-169,-54,-51,accel_data
Relative Altitude,-34,-21,-3,-10,bar_data
Pressure,-119,-52,-12,-10.5,bar_data
Z,-258,-182,-55,-68.25,gyro_data
Y,-231,-165,-51,-55.5,gyro_data
X,-150,-133,-37,-51,gyro_data
Z,-100,-40,-3,-0.25,grav_data
Y,-109,-68,-10,-1.5,grav_data
X,-115,-78,-18,1.25,grav_data
qz,-116,-66,-11,-0.5,orient_data
qy,-112,-57,-7,-2.5,orient_data
qx,-117,-76,-12,3.75,orient_data
qw,-108,-65,-7,0.75,orient_data
roll,-98,-36,-4,-1.75,orient_data
pitch,-105,-55,-10,-1.5,orient_data
yaw,-118,-31,-2,2.25,orient_data
