
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-319,-284,-94,-80.5,accel_data
Y,-361,-273,-108,-80,accel_data
X,-325,-271,-100,-54.5,accel_data
Relative Altitude,-24,-14,0,-2.5,bar_data
Pressure,-91,-66,-18,-2.5,bar_data
Z,-276,-186,-46,-9,gyro_data
Y,-298,-253,-72,-31.5,gyro_data
X,-260,-140,-39,-3,gyro_data
Z,-109,-82,-18,5,grav_data
Y,-59,0,3,10,grav_data
X,-94,-24,-4,3.5,grav_data
qz,-108,-104,-19,0.5,orient_data
qy,-118,-36,-3,8,orient_data
qx,-125,10,10,10,orient_data
qw,-132,-85,-19,5,orient_data
roll,-155,2,7,8,orient_data
pitch,-62,-62,-6,8.5,orient_data
yaw,-127,-124,-26,9,orient_data
