
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-564,-443,53,-106.5,accel_data
Y,-203,-176,101,-94,accel_data
X,-393,-343,80,33,accel_data
Relative Altitude,-156,58,129,105,bar_data
Pressure,-254,-239,111,105,bar_data
Z,-312,-43,92,85,gyro_data
Y,-415,-217,86,-89,gyro_data
X,-494,-323,67,41,gyro_data
Z,-165,45,95,113.75,grav_data
Y,-180,-176,141,123.75,grav_data
X,-150,50,91,72.5,grav_data
qz,-89,31,165,112,orient_data
qy,-318,-88,136,132,orient_data
qx,-385,-113,151,183.25,orient_data
qw,-91,30,155,170.5,orient_data
roll,-202,-136,122,61.25,orient_data
pitch,-173,16,104,46.75,orient_data
yaw,-305,-120,117,83.75,orient_data
