
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-849,-654,-40,-203,accel_data
Y,-499,-289,43,-120.5,accel_data
X,-657,-507,1,8.5,accel_data
Relative Altitude,-92,20,152,91,bar_data
Pressure,-187,-162,130,91,bar_data
Z,-523,-201,27,75,gyro_data
Y,-645,-392,12,-131.5,gyro_data
X,-714,-487,2,-19,gyro_data
Z,-310,-37,77,125.75,grav_data
Y,-302,-270,113,254.25,grav_data
X,-264,-40,63,85.25,grav_data
qz,-213,-74,136,101.75,orient_data
qy,-458,-200,105,148.5,orient_data
qx,-551,-200,119,169.25,orient_data
qw,-200,-39,135,157.75,orient_data
roll,-351,-190,92,6.5,orient_data
pitch,-300,-32,81,98.75,orient_data
yaw,-459,-203,79,47.25,orient_data
