
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-1421,-1126,-457,-400.5,accel_data
Y,-1422,-1109,-455,-382,accel_data
X,-1324,-1089,-423,-433.5,accel_data
Relative Altitude,-380,-303,-117,-153.75,bar_data
Pressure,-531,-373,-156,-153.75,bar_data
Z,-1269,-924,-346,-261,gyro_data
Y,-1266,-1008,-364,-305,gyro_data
X,-1112,-871,-325,-220.5,gyro_data
Z,-680,-331,-132,-34.75,grav_data
Y,-611,-457,-144,-11.75,grav_data
X,-598,-338,-135,-27.75,grav_data
qz,-621,-297,-98,-39,orient_data
qy,-674,-271,-86,-34,orient_data
qx,-699,-431,-125,-27.25,orient_data
qw,-643,-383,-117,-37.75,orient_data
roll,-705,-256,-109,-33,orient_data
pitch,-615,-223,-80,-29.75,orient_data
yaw,-618,-373,-134,-63,orient_data
