
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-432,-250,-94,-99.5,accel_data
Y,-511,-428,-137,-87.5,accel_data
X,-452,-362,-114,-69.5,accel_data
Relative Altitude,-77,-62,-9,-15.5,bar_data
Pressure,-99,-59,-6,-15.5,bar_data
Z,-323,-230,-70,-54.5,gyro_data
Y,-333,-253,-62,-29,gyro_data
X,-281,-218,-64,-53,gyro_data
Z,-175,-39,-5,0.5,grav_data
Y,-160,-101,-22,8,grav_data
X,-243,-145,-30,-5,grav_data
qz,-130,10,19,21,orient_data
qy,-139,-17,5,21,orient_data
qx,-151,-27,1,21,orient_data
qw,-132,-65,-8,12,orient_data
roll,-131,-23,2,8.5,orient_data
pitch,-114,-41,-3,9.5,orient_data
yaw,-175,-78,2,9.75,orient_data
