
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-200,-134,-46,-52.5,accel_data
Y,-245,-216,-57,-35.5,accel_data
X,-212,-166,-52,-26.5,accel_data
Relative Altitude,-29,-16,3,-0.5,bar_data
Pressure,-88,-49,-12,-0.5,bar_data
Z,-182,-130,-46,-37.5,gyro_data
Y,-220,-168,-50,-29,gyro_data
X,-180,-147,-45,-42,gyro_data
Z,-77,-9,7,5.5,grav_data
Y,-91,-53,-7,8,grav_data
X,-113,-75,-10,3.5,grav_data
qz,-87,-68,-8,2.25,orient_data
qy,-91,-14,4,5.5,orient_data
qx,-115,-43,-3,8,orient_data
qw,-67,-16,5,8.5,orient_data
roll,-77,-10,7,5.5,orient_data
pitch,-88,-38,1,8,orient_data
yaw,-108,-41,-1,1.25,orient_data
