
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-449,-300,-102,-60,accel_data
Y,-542,-448,-141,-81.5,accel_data
X,-479,-344,-120,-65.5,accel_data
Relative Altitude,-71,-55,-6,-9.5,bar_data
Pressure,-105,-64,-7,-9.5,bar_data
Z,-348,-174,-66,21.5,gyro_data
Y,-366,-204,-59,14.5,gyro_data
X,-294,-190,-70,-2,gyro_data
Z,-181,-40,-4,19,grav_data
Y,-168,-145,-29,24.5,grav_data
X,-248,-227,-46,25,grav_data
qz,-138,8,16,20.5,orient_data
qy,-147,7,16,20.5,orient_data
qx,-165,5,15,20.5,orient_data
qw,-138,8,17,25,orient_data
roll,-133,-7,5,23,orient_data
pitch,-119,-7,6,24.5,orient_data
yaw,-199,-179,-27,25,orient_data
