
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-567,-457,-165,-86.5,accel_data
Y,-588,-355,-118,-103.5,accel_data
X,-594,-453,-152,-119.5,accel_data
Relative Altitude,-70,-39,-7,-6.75,bar_data
Pressure,-117,-73,-18,-6.75,bar_data
Z,-433,-296,-72,-16,gyro_data
Y,-549,-504,-143,-51,gyro_data
X,-337,-227,-68,-2,gyro_data
Z,-236,-119,-23,23.25,grav_data
Y,-146,-16,-5,11.5,grav_data
X,-293,-117,-32,21.75,grav_data
qz,-239,-200,-43,13,orient_data
qy,-239,-108,-22,12.75,orient_data
qx,-204,-52,-11,12.5,orient_data
qw,-184,-108,-22,10.75,orient_data
roll,-367,-7,16,21.75,orient_data
pitch,-145,-124,-14,-3,orient_data
yaw,-249,-215,-44,24.25,orient_data
