
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-313,-271,-100,-77,accel_data
Y,-280,-226,-89,-64,accel_data
X,-315,-281,-90,-92.5,accel_data
Relative Altitude,-44,-31,-7,-9,bar_data
Pressure,-72,-52,-16,-9,bar_data
Z,-265,-190,-73,-22,gyro_data
Y,-303,-259,-90,-36.5,gyro_data
X,-221,-113,-48,-12,gyro_data
Z,-100,-73,-17,0.75,grav_data
Y,-91,-15,-5,2.25,grav_data
X,-196,-82,-19,1,grav_data
qz,-102,-60,-16,-9.75,orient_data
qy,-108,-57,-16,-2.5,orient_data
qx,-170,-50,-7,-4,orient_data
qw,-189,-15,-3,3.75,orient_data
roll,-195,-30,-7,3,orient_data
pitch,-93,-76,-12,-0.25,orient_data
yaw,-133,-31,-7,3.75,orient_data
