
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-398,-352,-118,-82.25,accel_data
Y,-386,-306,-109,-92,accel_data
X,-456,-413,-130,-115.5,accel_data
Relative Altitude,-70,-51,-11,-13,bar_data
Pressure,-93,-68,-17,-13,bar_data
Z,-413,-333,-98,-32.5,gyro_data
Y,-448,-395,-127,-47.5,gyro_data
X,-303,-146,-58,-13.5,gyro_data
Z,-152,-128,-30,4.75,grav_data
Y,-126,-22,-6,5.75,grav_data
X,-293,-122,-34,7.75,grav_data
qz,-205,-154,-33,11.75,orient_data
qy,-195,-79,-10,4,orient_data
qx,-180,-47,-9,5.75,orient_data
qw,-168,-140,-33,3.75,orient_data
roll,-253,-10,9,13.25,orient_data
pitch,-125,-104,-15,7.75,orient_data
yaw,-217,-163,-34,12.25,orient_data
