
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-412,-356,-126,-116,accel_data
Y,-334,-286,-98,-70.75,accel_data
X,-407,-369,-121,-108.25,accel_data
Relative Altitude,-73,-70,-13,-2.5,bar_data
Pressure,-147,-63,-24,-2.5,bar_data
Z,-292,-189,-60,-23.75,gyro_data
Y,-435,-390,-115,-111,gyro_data
X,-357,-251,-83,-76.25,gyro_data
Z,-174,-96,-34,-14.5,grav_data
Y,-146,-99,-33,-17.25,grav_data
X,-123,-15,-1,-2.25,grav_data
qz,-247,-115,-30,-8,orient_data
qy,-207,-171,-33,-4.75,orient_data
qx,-216,-171,-27,-6.25,orient_data
qw,-257,-144,-38,-6.5,orient_data
roll,-135,-114,-20,4.5,orient_data
pitch,-150,-93,-19,-15.25,orient_data
yaw,-160,-119,-39,1.75,orient_data
