
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-187,-151,-47,-60,accel_data
Y,-150,-123,-34,-23.5,accel_data
X,-187,-169,-52,-57,accel_data
Relative Altitude,-32,-31,-4,-7,bar_data
Pressure,-41,-24,-3,-7,bar_data
Z,-126,-74,-21,-8,gyro_data
Y,-186,-170,-53,-39.5,gyro_data
X,-150,-105,-33,-16.5,gyro_data
Z,-58,-54,-9,0,grav_data
Y,-62,-56,-9,1.5,grav_data
X,-50,-3,0,0.25,grav_data
qz,-86,-6,-3,-0.5,orient_data
qy,-65,-60,-12,1.25,orient_data
qx,-83,-69,-8,2.25,orient_data
qw,-107,-50,-10,-3.5,orient_data
roll,-47,-41,-5,-0.75,orient_data
pitch,-60,-8,-2,1,orient_data
yaw,-64,-45,-17,-6.25,orient_data
