
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-162,-143,74,46.5,accel_data
Y,-81,-14,96,17.5,accel_data
X,-191,-163,73,67.5,accel_data
Relative Altitude,22,53,130,119.5,bar_data
Pressure,2,16,115,119.5,bar_data
Z,-119,-19,91,95.5,gyro_data
Y,-178,-54,83,56,gyro_data
X,28,52,147,98.5,gyro_data
Z,72,84,162,129.25,grav_data
Y,30,50,148,194.75,grav_data
X,-25,25,127,137.75,grav_data
qz,3,66,133,153.5,orient_data
qy,17,82,160,147,orient_data
qx,2,112,175,169,orient_data
qw,10,99,174,166.25,orient_data
roll,48,57,151,128,orient_data
pitch,27,65,146,167.75,orient_data
yaw,13,81,151,128.5,orient_data
