
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-296,-249,-79,-88,accel_data
Y,-330,-261,-79,-98.75,accel_data
X,-343,-266,-90,-102.5,accel_data
Relative Altitude,-36,-24,-1,-7,bar_data
Pressure,-35,-12,0,-7,bar_data
Z,-137,-86,-15,-8.5,gyro_data
Y,-267,-171,-49,-42.5,gyro_data
X,-169,-90,-20,-8.5,gyro_data
Z,-78,-41,-7,-5.25,grav_data
Y,-3,-3,13,0,grav_data
X,-24,-23,2,-10.5,grav_data
qz,-47,-27,-1,10.5,orient_data
qy,-21,-1,3,-2,orient_data
qx,-65,-45,-8,10.5,orient_data
qw,-49,-3,2,-8.25,orient_data
roll,-91,-40,-7,0.75,orient_data
pitch,-4,0,12,0.5,orient_data
yaw,-63,-37,-2,4.75,orient_data
