
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-152,-131,-40,-46.5,accel_data
Y,-141,-120,-37,-39,accel_data
X,-153,-140,-39,-46,accel_data
Relative Altitude,-19,-9,-2,-5,bar_data
Pressure,-19,-10,1,-5,bar_data
Z,-111,-64,-7,-3.5,gyro_data
Y,-140,-111,-29,-25.5,gyro_data
X,-109,-50,-11,-7,gyro_data
Z,-39,-26,-8,-2,grav_data
Y,-6,-1,4,0.5,grav_data
X,-16,-10,-1,-2.75,grav_data
qz,-33,-20,-4,-3,orient_data
qy,-35,-6,0,-4.5,orient_data
qx,-33,-32,-4,1,orient_data
qw,-28,-2,0,-4.5,orient_data
roll,-51,-23,-7,-1,orient_data
pitch,-6,-4,5,0.5,orient_data
yaw,-24,-10,0,0.5,orient_data
