
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-349,-297,-99,-68,accel_data
Y,-391,-318,-92,-77.5,accel_data
X,-420,-328,-115,-64.5,accel_data
Relative Altitude,-50,-36,-4,-11.5,bar_data
Pressure,-56,-26,-6,-11.5,bar_data
Z,-194,-127,-30,-3.5,gyro_data
Y,-329,-228,-69,-24.5,gyro_data
X,-217,-125,-35,-10,gyro_data
Z,-114,-15,7,9.5,grav_data
Y,-37,-35,5,0.5,grav_data
X,-59,-56,-8,19.5,grav_data
qz,-90,-63,-10,9,orient_data
qy,-53,-3,3,-4,orient_data
qx,-106,-82,-16,10.5,orient_data
qw,-78,-18,-3,-3.5,orient_data
roll,-113,-2,13,19.5,orient_data
pitch,-33,-4,11,2.5,orient_data
yaw,-74,-3,12,19.5,orient_data
