
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-314,-268,-87,-32,accel_data
Y,-370,-333,-101,-40,accel_data
X,-345,-273,-91,-65,accel_data
Relative Altitude,-44,-31,-9,-10.75,bar_data
Pressure,-85,-57,-13,-10.75,bar_data
Z,-204,-152,-45,-14.5,gyro_data
Y,-308,-265,-81,-32.75,gyro_data
X,-243,-177,-53,-27.25,gyro_data
Z,-126,-39,-10,8.25,grav_data
Y,-79,-32,-7,0.75,grav_data
X,-100,-66,-8,-3.25,grav_data
qz,-87,-57,-5,8.25,orient_data
qy,-117,-40,-8,7.25,orient_data
qx,-99,-25,-5,0.75,orient_data
qw,-144,-114,-22,7.25,orient_data
roll,-142,-36,-6,7.75,orient_data
pitch,-79,-49,-4,-0.5,orient_data
yaw,-138,-15,0,8.75,orient_data
