
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-446,-149,26,87.5,accel_data
Y,-213,-143,95,4,accel_data
X,-402,-319,113,3.5,accel_data
Relative Altitude,140,149,247,150,bar_data
Pressure,81,85,214,150,bar_data
Z,-60,55,187,116.5,gyro_data
Y,-293,-152,129,99,gyro_data
X,-145,-8,179,135.5,gyro_data
Z,111,138,241,181.75,grav_data
Y,33,39,189,208.5,grav_data
X,146,149,253,154.5,grav_data
qz,129,188,265,273.75,orient_data
qy,13,108,240,282.25,orient_data
qx,-1,169,253,283,orient_data
qw,137,200,270,266,orient_data
roll,156,183,259,222.25,orient_data
pitch,98,180,214,184,orient_data
yaw,128,193,258,238.75,orient_data
