
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-5019,-4263,-1714,-1667.75,accel_data
Y,-3187,-2721,-1240,-1846.5,accel_data
X,-3912,-2704,-1098,-1383.75,accel_data
Relative Altitude,-1545,-1089,-554,-575.5,bar_data
Pressure,-1745,-1273,-563,-575.5,bar_data
Z,-3004,-2052,-898,-1196,gyro_data
Y,-4604,-3791,-1276,-1541,gyro_data
X,-3797,-2706,-1442,-1403.5,gyro_data
Z,-2033,-1256,-743,-586,grav_data
Y,-1350,-1243,-440,-504.5,grav_data
X,-930,-902,-284,-707,grav_data
qz,-1419,-741,-263,-139.25,orient_data
qy,-2402,-1001,-325,-111.75,orient_data
qx,-2493,-1392,-419,-159.5,orient_data
qw,-1330,-790,-284,-140,orient_data
roll,-1987,-848,-597,-376,orient_data
pitch,-1245,-908,-463,-727,orient_data
yaw,-1853,-1102,-477,-340.75,orient_data
